momentum_period,rebalance_days,top_pct,num_stocks,num_periods_tested,avg_return,std_return,min_return,max_return,avg_7wk_return,avg_sharpe,std_sharpe,min_sharpe,max_sharpe,avg_drawdown,max_drawdown,consistency_score
12,2,0.3,15,21,58.509424721937684,44.78295651250236,14.392725127966187,169.49106170456085,9.678818250383646,3.1109653726738458,1.1795261099716474,1.208138369737025,5.884026001241942,3.2619300008117644,11.266670523307209,1.9314392627021983
5,2,0.2,10,21,65.89096847850617,40.18160136021489,11.91216705749878,148.07927857458535,10.850059409368606,3.3911442744269373,1.4711156470564588,0.750626656836795,5.594957076074674,4.103557610411055,12.758722548036255,1.9200286273704785
15,5,0.3,15,21,42.838251448884776,20.480043034741982,15.332699096939638,88.36281464220332,7.733169853937059,2.8888424655865914,0.9699547439556692,0.8723609996611925,4.438421351342934,3.1885329610372586,12.155073810577392,1.9188877216309224
12,3,0.3,15,21,58.035641207596534,43.585825055534315,10.45679502850878,161.9881283360214,9.6289710622515,3.0727813897855834,1.1599206512829605,0.9349976123224019,5.6992124832345405,3.084285118697404,9.57320175213872,1.9128607385026228
14,2,0.2,10,21,58.30823719802292,42.326589167786956,13.915516542929929,179.62063290991983,9.732571574619836,2.8525723090562654,0.9646280654206657,1.1483378514374385,4.484054750786105,3.6569376977778214,12.192707478439917,1.8879442436355998
14,3,0.2,10,21,53.07762270230542,35.28775196700822,18.857455022892267,123.85701866679888,9.070523351941787,2.773475003546959,0.8867070541210879,1.4077006527740425,4.197624936169797,3.48426180608253,11.15674599456787,1.8867679494258711
11,2,0.3,15,21,56.157182423722396,40.130001448344906,9.83752203445758,146.33579402331392,9.425551771618071,3.104947504224328,1.2497420758761975,0.8568460756993443,5.948473065943534,3.29229852496449,10.853790311948403,1.8552054283481307
13,2,0.3,15,21,55.38388987621107,42.00016154333668,0.9539449827605795,172.4041749610209,9.269967206864129,3.077918822372039,1.2253413556559132,0.15082586070780757,5.013350679395256,3.2765750733239534,11.462551160613746,1.8525774667161257
11,5,0.3,15,21,45.92428326937241,30.69630074137618,8.915448918271762,107.48450767843853,8.026605158124651,2.8492855288794274,1.005885672746788,0.8293855332501197,4.501122324104029,2.8345689838154167,9.85704393005371,1.8433998561326395
7,2,0.3,15,21,47.91330508746061,27.480041459879338,-0.1749108543771749,107.97215219955767,8.394821836562382,2.997151335159535,1.154017543854565,0.12266866831587037,4.9182389324314,3.8674440381516746,14.106962489182418,1.84313379130497
